Hot Spots - Method;Self time [%];Self time ms;Invocations
nl.uva.vlet.vfs.cloud.CloudFileSystem.getBlobStoreContext();66.649124;18511.932;382
nl.uva.vlet.vfs.test.testVFS.setUp();10.294148;2859.221;61
nl.uva.vlet.vfs.cloud.CloudOutputStream.getBlobStoreContext();4.277837;1188.178;33
nl.uva.vlet.vfs.cloud.CloudOutputStream.writeData();3.71576;1032.06;33
nl.uva.vlet.vfs.cloud.CloudFSFactory.updateServerInfo(nl.uva.vlet.vrs.VRSContext, nl.uva.vlet.vrs.ServerInfo, nl.uva.vlet.vrl.VRL);3.6783884;1021.68;133
nl.uva.vlet.vfs.cloud.CloudFileSystem.queryPath(nl.uva.vlet.vrl.VRL);1.9577603;543.772;100
nl.uva.vlet.vfs.test.testBlobStore.suite();1.8851236;523.597;1
nl.uva.vlet.vfs.test.testVFS.testMove10MBForthAndBack();0.90388525;251.056;1
nl.uva.vlet.vfs.test.testVFS.testStreamRead();0.88011587;244.454;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.rm(nl.uva.vlet.vrl.VRL);0.6885421;191.244;54
nl.uva.vlet.vfs.cloud.CloudFileSystem.getInputStream(nl.uva.vlet.vrl.VRL);0.6881029;191.122;14
nl.uva.vlet.vfs.cloud.CloudFileSystem.exists(nl.uva.vlet.vrl.VRL, org.jclouds.blobstore.domain.StorageType);0.5859578;162.751;114
nl.uva.vlet.vfs.test.testVFS.testStreamWrite();0.51821756;143.936;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.ls(nl.uva.vlet.vrl.VRL);0.46272203;128.522;11
nl.uva.vlet.vfs.cloud.CloudFileSystem.touch(nl.uva.vlet.vrl.VRL, boolean);0.43196797;119.98;55
nl.uva.vlet.vfs.cloud.CloudOutputStream.write(byte[], int, int);0.32928288;91.459;670
nl.uva.vlet.vfs.cloud.CloudFileSystem.mkdir(nl.uva.vlet.vrl.VRL, boolean);0.23918454;66.434;37
nl.uva.vlet.vfs.test.VTestCase.verbose(int, String);0.22489122;62.464;196
nl.uva.vlet.vfs.test.testVFS.testCopyDirToRemote();0.153367;42.598;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.getContainerAndPath(nl.uva.vlet.vrl.VRL);0.14612672;40.587;414
nl.uva.vlet.vfs.test.testBlobStore.main(String[]);0.13852282;38.475;1
nl.uva.vlet.vfs.test.testVFS.testX3rdPartyTransfer(nl.uva.vlet.vrl.VRL, nl.uva.vlet.vrl.VRL, String, String, boolean);0.12092799;33.588;3
nl.uva.vlet.vfs.test.testVFS.testSetGetSimpleContentsNewFile();0.10407123;28.906;1
