Hot Spots - Method;Self time [%];Self time ms;Invocations
nl.uva.vlet.vfs.cloud.CloudOutputStream.getBlobStoreContext();25.651178;3169.183;29
nl.uva.vlet.vfs.test.testVFS.setUp();23.303846;2879.172;61
nl.uva.vlet.vfs.cloud.CloudFileSystem.getBlobStoreContext();13.942888;1722.633;366
nl.uva.vlet.vfs.cloud.CloudFSFactory.updateServerInfo(nl.uva.vlet.vrs.VRSContext, nl.uva.vlet.vrs.ServerInfo, nl.uva.vlet.vrl.VRL);7.847488;969.551;133
nl.uva.vlet.vfs.cloud.CloudFileSystem.queryPath(nl.uva.vlet.vrl.VRL);3.9771194;491.37;97
nl.uva.vlet.vfs.test.testBlobStore.suite();3.940373;486.83;1
nl.uva.vlet.vfs.cloud.CloudOutputStream.writeData();3.5267725;435.73;29
nl.uva.vlet.vfs.cloud.CloudFileSystem.ls(nl.uva.vlet.vrl.VRL);3.0287766;374.203;11
nl.uva.vlet.vfs.test.testVFS.testMove10MBForthAndBack();2.0063584;247.884;1
nl.uva.vlet.vfs.test.testVFS.testStreamRead();1.5949999;197.061;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.getInputStream(nl.uva.vlet.vrl.VRL);1.4679737;181.367;11
nl.uva.vlet.vfs.cloud.CloudFileSystem.exists(nl.uva.vlet.vrl.VRL, org.jclouds.blobstore.domain.StorageType);1.4024613;173.273;109
nl.uva.vlet.vfs.test.testVFS.testStreamWrite();1.2861352;158.901;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.rm(nl.uva.vlet.vrl.VRL);0.81376475;100.54;53
nl.uva.vlet.vfs.cloud.CloudOutputStream.write(byte[], int, int);0.7005224;86.549;667
nl.uva.vlet.vfs.test.testVFS.testSetGetSimpleContentsExistingFile();0.6428774;79.427;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.touch(nl.uva.vlet.vrl.VRL, boolean);0.63022655;77.864;52
nl.uva.vlet.vfs.test.testBlobStore.main(String[]);0.60834056;75.16;1
nl.uva.vlet.vfs.test.VTestCase.verbose(int, String);0.58532137;72.316;181
nl.uva.vlet.vfs.cloud.CloudFileSystem.mkdir(nl.uva.vlet.vrl.VRL, boolean);0.31890935;39.401;35
nl.uva.vlet.vfs.cloud.CloudFileSystem.getContainerAndPath(nl.uva.vlet.vrl.VRL);0.25855282;31.944;395
nl.uva.vlet.vfs.test.testVFS.testX3rdPartyTransfer(nl.uva.vlet.vrl.VRL, nl.uva.vlet.vrl.VRL, String, String, boolean);0.23546891;29.092;3
nl.uva.vlet.vfs.test.testVFS.testReadWriteBytes();0.21971;27.145;1
nl.uva.vlet.vfs.test.VTestCase.<init>();0.20214616;24.975;61
nl.uva.vlet.vfs.test.testVFS.testSetGetSimpleContentsNewFile();0.19039376;23.523;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.removePrefix(String);0.12627356;15.601;460
nl.uva.vlet.vfs.cloud.CloudFSFactory.createNewFileSystem(nl.uva.vlet.vrs.VRSContext, nl.uva.vlet.vrs.ServerInfo, nl.uva.vlet.vrl.VRL);0.12280126;15.172;1
nl.uva.vlet.vfs.test.testVFS.testCopyDirToRemote();0.11651227;14.395;1
nl.uva.vlet.vfs.test.testVFS.testPrintInfo();0.091283455;11.278;1
nl.uva.vlet.vfs.test.testBlobStore.<clinit>;0.078503124;9.699;1
nl.uva.vlet.vfs.test.testVFS.testTildeExpansion();0.07809033;9.648;1
nl.uva.vlet.vfs.test.TestSettings.<clinit>;0.06941363;8.576;1
nl.uva.vlet.vfs.test.testVFS.getServerInfo();0.0675844;8.35;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.getPath(nl.uva.vlet.vrl.VRL);0.06533428;8.072;65
nl.uva.vlet.vfs.test.testVFS.testVFSNodeAttributes(nl.uva.vlet.vfs.VFSNode);0.06360218;7.858;2
nl.uva.vlet.vfs.test.testVFS.testCopyEmptyDir();0.05875391;7.259;1
nl.uva.vlet.vfs.test.TestSettings.<init>();0.05787977;7.151;1
nl.uva.vlet.vfs.test.testVFS.testCreateAndDeleteFullDir();0.051364146;6.346;1
nl.uva.vlet.vfs.test.testVFS.testCreateDirPermissionDenied();0.04739002;5.855;1
nl.uva.vlet.vfs.cloud.CloudOutputStream.<init>(String, String, String, java.util.Properties);0.044055317;5.443;29
nl.uva.vlet.vfs.test.testVFS.testListDirFiltered();0.04196708;5.185;1
nl.uva.vlet.vfs.test.testVFS.testExists();0.03745066;4.627;1
nl.uva.vlet.vfs.test.testVFS.testAlias();0.0281831;3.482;1
nl.uva.vlet.vfs.cloud.CloudFileSystem.debug(String);0.02727658;3.37;3
